zip,lat,lng,city,state_id,state_name,population
81040,37.79283,-105.2493,Gardner,CO,Colorado,201
81041,37.844,-102.3839,Granada,CO,Colorado,618
81043,38.11982,-102.22312,Hartman,CO,Colorado,56
81044,37.90328,-102.93628,Hasty,CO,Colorado,148
81045,38.55956,-103.16093,Haswell,CO,Colorado,94
81046,37.29597,-104.36867,Hoehne,CO,Colorado,0
81047,38.03226,-102.19206,Holly,CO,Colorado,1617
81049,37.31338,-103.36308,Kim,CO,Colorado,165
81050,37.92266,-103.51528,La Junta,CO,Colorado,9925
81052,37.94242,-102.65625,Lamar,CO,Colorado,9073
81054,37.88583,-103.19493,Las Animas,CO,Colorado,5138
81055,37.47727,-105.06635,La Veta,CO,Colorado,1663
81057,38.12525,-102.89675,McClave,CO,Colorado,322
81058,38.10727,-103.88161,Manzanola,CO,Colorado,1242
81059,37.56259,-103.99322,Model,CO,Colorado,34
81062,38.29345,-103.94995,Olney Springs,CO,Colorado,1641
81063,38.45232,-103.78494,Ordway,CO,Colorado,3260
81064,37.24593,-102.99753,Pritchett,CO,Colorado,250
81067,38.01674,-103.72326,Rocky Ford,CO,Colorado,5444
81069,37.88998,-104.88951,Rye,CO,Colorado,2215
81071,38.44838,-102.2816,Sheridan Lake,CO,Colorado,244
81073,37.42414,-102.71496,Springfield,CO,Colorado,1726
81076,38.32338,-103.6167,Sugar City,CO,Colorado,745
81077,38.01374,-103.60985,Swink,CO,Colorado,617
81081,37.07295,-104.14954,Trinchera,CO,Colorado,157
81082,37.20343,-104.41717,Trinidad,CO,Colorado,11818
81084,37.57031,-102.41929,Two Buttes,CO,Colorado,67
81087,37.39168,-102.41277,Vilas,CO,Colorado,169
81089,37.6642,-104.66427,Walsenburg,CO,Colorado,4759
81090,37.36311,-102.22434,Walsh,CO,Colorado,949
81091,37.14869,-104.97774,Weston,CO,Colorado,969
81092,38.20283,-102.86779,Wiley,CO,Colorado,803
81101,37.47197,-105.85243,Alamosa,CO,Colorado,15110
81120,37.14248,-106.26715,Antonito,CO,Colorado,2204
81121,37.01861,-107.42041,Arboles,CO,Colorado,362
81122,37.31839,-107.50574,Bayfield,CO,Colorado,8896
81123,37.40469,-105.5659,Blanca,CO,Colorado,820
81124,37.28543,-106.10688,Capulin,CO,Colorado,164
81125,37.81745,-106.06678,Center,CO,Colorado,3573
81126,37.16146,-105.34724,Chama,CO,Colorado,387
81128,37.06529,-106.65223,Chromo,CO,Colorado,45
81129,37.10495,-106.02167,Conejos,CO,Colorado,7
81130,37.7179,-107.04471,Creede,CO,Colorado,745
81131,37.87706,-105.66651,Crestone,CO,Colorado,1042
81132,37.71656,-106.41009,Del Norte,CO,Colorado,3338
81133,37.44964,-105.32747,Fort Garland,CO,Colorado,1072
81136,37.72672,-105.85355,Hooper,CO,Colorado,328
81137,37.05555,-107.61596,Ignacio,CO,Colorado,5662
81138,37.02302,-105.62737,Jaroso,CO,Colorado,37
81140,37.28692,-106.1543,La Jara,CO,Colorado,1969
81141,37.16256,-105.89507,Manassa,CO,Colorado,1049
81143,38.14477,-105.87112,Moffat,CO,Colorado,769
81144,37.5516,-106.14851,Monte Vista,CO,Colorado,6881
81146,37.64616,-105.6776,Mosca,CO,Colorado,1039
81147,37.28675,-107.08333,Pagosa Springs,CO,Colorado,12599
81148,37.17183,-105.98542,Romeo,CO,Colorado,313
81149,38.1035,-106.33858,Saguache,CO,Colorado,939
81151,37.23376,-105.71506,Sanford,CO,Colorado,1777
81152,37.12609,-105.39411,San Luis,CO,Colorado,1089
81154,37.63473,-106.67179,South Fork,CO,Colorado,1105
81155,38.26671,-106.09603,Villa Grove,CO,Colorado,239
81201,38.55129,-106.08157,Salida,CO,Colorado,9054
81210,38.81898,-106.62219,Almont,CO,Colorado,283
81211,38.89548,-106.24128,Buena Vista,CO,Colorado,8156
81212,38.54409,-105.42498,Canon City,CO,Colorado,31899
81220,38.29861,-107.48414,Cimarron,CO,Colorado,139
81221,38.36243,-105.14238,Coal Creek,CO,Colorado,414
81222,38.35492,-105.81612,Coaldale,CO,Colorado,425
81223,38.39372,-105.6031,Cotopaxi,CO,Colorado,1822
81224,38.87985,-106.90957,Crested Butte,CO,Colorado,3468
81225,38.94115,-107.00664,Crested Butte,CO,Colorado,1052
81226,38.32213,-105.10193,Florence,CO,Colorado,9266
81227,38.54934,-106.29009,Monarch,CO,Colorado,0
81228,39.03402,-106.27723,Granite,CO,Colorado,0
81230,38.40752,-106.98372,Gunnison,CO,Colorado,10676
81232,38.27535,-105.60895,Hillside,CO,Colorado,45
81233,38.49244,-105.81369,Howard,CO,Colorado,1006
81235,37.99363,-107.33098,Lake City,CO,Colorado,800
81236,38.6955,-106.25424,Nathrop,CO,Colorado,1096
81237,38.62842,-106.59108,Ohio City,CO,Colorado,115
81239,38.53667,-106.60825,Parlin,CO,Colorado,161
81240,38.4995,-105.03076,Penrose,CO,Colorado,3749
81241,38.62675,-106.48848,Pitkin,CO,Colorado,196
81242,38.47181,-106.07288,Poncha Springs,CO,Colorado,1146
81243,38.26041,-107.17654,Powderhorn,CO,Colorado,65
81244,38.36393,-105.16495,Rockvale,CO,Colorado,513
81248,38.3991,-106.47763,Sargents,CO,Colorado,184
81251,39.13482,-106.43723,Twin Lakes,CO,Colorado,226
81252,38.10891,-105.42143,Westcliffe,CO,Colorado,3931
81253,38.18763,-105.07497,Wetmore,CO,Colorado,405
81301,37.51095,-107.82066,Durango,CO,Colorado,29385
81303,37.12903,-107.85677,Durango,CO,Colorado,9587
81320,37.70115,-108.72654,Cahone,CO,Colorado,503
81321,37.31826,-108.76267,Cortez,CO,Colorado,15050
81323,37.64874,-108.27823,Dolores,CO,Colorado,4854
81324,37.63734,-109.02911,Dove Creek,CO,Colorado,1506
81325,37.89605,-108.72011,Egnar,CO,Colorado,109
81326,37.14635,-108.11525,Hesperus,CO,Colorado,2783
81327,37.5155,-108.66488,Lewis,CO,Colorado,357
81328,37.30054,-108.3101,Mancos,CO,Colorado,3750
81330,37.23484,-108.47828,Mesa Verde National Park,CO,Colorado,116
